painting,image_path,baseline,vad,emotion
camille-pissarro_the-market-surrounding-the-church-of-saint-jacques-dieppe-1901,images/camille-pissarro_the-market-surrounding-the-church-of-saint-jacques-dieppe-1901.jpg,مدينة بها منازل كثيرا بجانب بعضها وتتميز بالوان مشرقة وجذابة,مدينة كبيرة مليئة بالمنازل الملونة بألوان زاهية,مدينة جميلة شوارعها نظيفه بها العديد والكثير من المباني والمباني
natalia-goncharova_self-portrait-with-yellow-lilies,images/natalia-goncharova_self-portrait-with-yellow-lilies.jpg,سيدة جميلة الملامح تحمل باقة من الورود الملونة,سيدة جميلة الشكل ترتدى فستان رائع وتحمل باقة ورد جميل الشكل,فتاه صغيره ترتدى قبعه لونها ازرق تحمل زهور صفراء وحمراء
pierre-auguste-renoir_a-girl-reading-1891,images/pierre-auguste-renoir_a-girl-reading-1891.jpg,فتاه جميله تجلس علي كرسي و ترتدي فستان ابيض,سيدة جميلة ذات شعر بني و تمسك في يدها قطعة قماش بيضاء اللون تقوم برسم لوحة فنية,فتاة صغيرة جالسة وترتدي ثوب ابيض وتمسك بيدها كتاب صغير
willard-metcalf_self-portrait,images/willard-metcalf_self-portrait.jpg,رجل يرتدي ملابس سوداء له شارب ولحيه لونهم اسود ينظر الى الامام,رجل ذو شعر أسود وشارب طويل ويرتدي ملابس أنيقة وعيونه تبدو عليها الحزن والبؤس,رجل يرتدي بدلة سوداء وله شارب طويل وشعر ناعم وجميل
albert-bierstadt_snow-capped-moutain-at-twilight,images/albert-bierstadt_snow-capped-moutain-at-twilight.jpg,جبل كبير من اللون الأبيض حيث يوجد بحر كبير جدا مما يثير البهجة,جبل عالي الارتفاع عليه جليد لونه ابيض وجبال عاليه والسماء بها غيوم لونها ابيض واسود وابيض,جبل عالي الارتفاع علي قمته بعض الجليد الابيض و امامه بحر ازرق اللون
camille-corot_marshy-pastures,images/camille-corot_marshy-pastures.jpg,السماء صافيه مع تباين الشجر الاخضر الطويل المتجانس بشكل مذهل,السماء صافيه مع تباين الشجر الاخضر الطويل المتجانس بشكل جميل مع تناسق الألوان وتباينها,رجل يركب حصان يجر عربة خشبية وسط أرض خضراء وأشجار عالية رائعة وجميلة
agnes-martin_on-a-clear-day-1-1973,images/agnes-martin_on-a-clear-day-1-1973.jpg,لوحة بيضاء بها مجموعة من المربعات الصغيرة مربعات صغيرة,مجموعة من الخطوط السوداء التي تتداخل مع بعضها البعض في شكل هندسي رائع,خطوط سوداء وخطوط طوليه وعرضيه متداخله مع بعضها مكونه شكل هندسي جميل جدا
mary-fedden_still-life-1981,images/mary-fedden_still-life-1981.jpg,بعض الأشكال الغريبة التي لا تعطي اي معني واضح,طبق به بعض الطعام مثل البطيخ والعنب الابيض والاسود موضوعين علي منضده بيضاء,بعض من الفواكه المختلفة التي تشبه البطيخ والعنب الاسود والاحمر
ivan-aivazovsky_view-of-amalfi-1865,images/ivan-aivazovsky_view-of-amalfi-1865.jpg,بحر كبير جدا والوانة مبهجة للرؤية وبة مراكب كثيرا ويستمتعون بالاجواء الهادئة,بحر واسع به قوارب صغيرة وعلى شاطئه مجموعة من البيوت,بحر كبير جدا ولدية مياة صافية وسفن ومراكب في وسط البحر والسماء صافية
arkhip-kuindzhi_a-birch-grove-1879-2,images/arkhip-kuindzhi_a-birch-grove-1879-2.jpg,غابة مليئة بالأشجار الخضراء تنعكس عليها السماء الصافية بصورة فردية لقد شعرت بالمتعة عندما نظرت إليها.,غابة بها أشجار وحشائش كثيرا ونخيل جذابة للغاية ولا يعيش بها أشخاص كثيرين ويستمتعون بالاجواء الهادئة والهواء النقي والهدوء والهواء,غابة بها أشجار وحشائش كثيرا ونخيل جذابة للغاية وحشائش كبيرا
maurice-prendergast_monte-pincio-rome-1899,images/maurice-prendergast_monte-pincio-rome-1899.jpg,مجموعه من الناس يقفون في مكان عام وسط الاشجار,مجموعه من الناس يقفون امام مجموعه كبيره من الاشجار العاليه,يبدو أن الناس يستمتعون بوقتهم في هذا المكان الممتع و هم سعداء و يستمتعون بالوقت و يشعرون بالسعادة و
paul-gauguin_bouquet-of-flowers-1882,images/paul-gauguin_bouquet-of-flowers-1882.jpg,الالوان جميله جدا ومتناسقه مع بعضها البعض في مشهد ممتع,لوحة فنية رائعة بها الوان جميلة وجذابة وتتميز بالرقة والبهجة ايضا,الالوان المبهجة و تداخلها في شكل جميل متناغم و جميل
vasily-surikov_portrait-of-governor-zamyatnin,images/vasily-surikov_portrait-of-governor-zamyatnin.jpg,رجل يرتدي ملابس عسكرية و يبدو انه من طبقة النبلاء,رجل يرتدي ملابس عسكرية سوداء يقف في فخر وحماس شديد جدا,رجل يرتدي ملابس عسكرية لونها أسود وعلى وجهه ملامح ثقة وكأنه ملك البلاد
maurice-prendergast_spring-promenade,images/maurice-prendergast_spring-promenade.jpg,لون السماء الازرق يتباين بشكل جميل مع لون الأشجار الخضراء,مجموعه من النساء والاطفال يلعبون في حديقه امام منزل لونه اصفر وابيض واحمر,حديقة بها أشجار كثيرا وحشائش ألوانها مشرقة ومبهجة جدا ويستمتعون
sam-francis_untitled-sf-315-1986,images/sam-francis_untitled-sf-315-1986.jpg,لوحة بيضاء بها الوان مبهجة للرؤية وجذابة وتتميز بالرقة,لوحه بيضاء عليها بعض الالوان المتناسقه مع بعضها البعض بشكل عشوائي,لوحة بيضاء عليها بقع من ألوان مختلفة منها الأصفر والأحمر والأصفر والأخضر وغيرها
nicholas-roerich_trans-himalayas-near-saga,images/nicholas-roerich_trans-himalayas-near-saga.jpg,جبال عالية شامخة مع سماء صافية ورائعة,جبال عالية و سماء صافية و جبال شاهقة الارتفاع في مشهد مذهل حقا,جبال عالية مع سماء زرقاء صافية هادئة
vasily-surikov_house-of-surikov-family-in-krasnoyarsk-1890,images/vasily-surikov_house-of-surikov-family-in-krasnoyarsk-1890.jpg,منزل بسيط جدا وحولة حشائش خضراء و أشجار كثيرا,منزل جميل الشكل ذو اللون الأبيض أمامه حديقة صغيرة خضراء اللون بها الكثير من النوافذ الصغيرة,منزل صغير وحولة حشائش خضراء و يوجد أشجار كثيرا جدا وخلابة ويوجد حشائش
vincent-van-gogh_wheatfield-with-crows-1890,images/vincent-van-gogh_wheatfield-with-crows-1890.jpg,ارض صفراء بها بعض الحشائش الصفراء وسماء بها غيوم,يبدو انها غابه و هناك الكثير من الجبال ويوجد في المنتصف بعض من النجوم التي تشبه النجوم السماء في الفضاء الواسع و,لوحة بها بعض الألوان المختلفة تعطى صورة جيدة الشكل تعطى شكلا مميزا وجميلا
pavel-svinyin_ruined-house,images/pavel-svinyin_ruined-house.jpg,مدخل قصر كبير به أعمدة بيضاء و يوجد بها تمثال كبير,تمثال منحوت بشكل رائع وجميل ويبدو انه من العصور القديمه ويبدو عليه انه ملك,منزل كبير لونه ابيض و امامه بعض التماثيل
lyubov-popova_the-pianist,images/lyubov-popova_the-pianist.jpg,تداخل الالوان مع بعضها البعض في شكل متباين ورائع متميز,تداخل الالوان مع بعضها البعض لتكوين صوره لرجل وامراه في مشهد مذهل ورائع,تداخل الاشكال والالوان معا لتكوين صوره جميله جدا ومذهله ورائع
alfred-stevens_an-elegant-woman-1884,images/alfred-stevens_an-elegant-woman-1884.jpg,فتاة ترتدي فستان انيق جدا وتتجول بمفردها وتستمتع بالاجواء الهادئة,فتاة تقف على شاطئ البحر وتمسك بيدها شمسيه,فتاة ترتدي فستان انيق جدا وبجانبها بحر كبير للغاية ويستمتعون بالاجواء الهادئة والهواء النقي والأجواء هادئه
john-singer-sargent_st-martin-s-summer-1888,images/john-singer-sargent_st-martin-s-summer-1888.jpg,يبدو ان هذه الفتاه سعيده ومستمتعه بوقتها مع تباين العشب الاخضر,سيدة تجلس على الأرض وسط الأشجار الخضراء وبجانبها طفلة صغيرة,فتاتان جميلتان يجلسان بجوار بعضهما في حديقه مليئه بالاشجار الخضراء
peter-paul-rubens_thomas-howard-second-count-of-arundel,images/peter-paul-rubens_thomas-howard-second-count-of-arundel.jpg,رجل ذو شعر اسود طويل يرتدي ملابس سوداء انيقه,رجل ذو لحية كثيفة يرتدي بدلة سوداء أنيقة وعلى وجهه نظرة رضا وسلام,رجل يرتدي بدلة سوداء له شارب ولحيه لونهم بني ينظر الى الامام جهه اليمين قليلا وله شارب طويل ولحيه
john-singer-sargent_ena-wertheimer-with-antonio-mancini-1904,images/john-singer-sargent_ena-wertheimer-with-antonio-mancini-1904.jpg,امراه ترتدي فستان ابيض وجالسه تنظر بنظرات كلها رضا وقبول,رجل وامرأة يجلسان في مكان مليء بالأشجار والعشب الأخضر في جو هادئ وجميل ومبهج,امرأة جميلة جدا و هي ترتدي ملابس بيضاء اللون و تضع قبعة فوق رأسها وتنظر الي جانبها في حب
adolphe-joseph-thomas-monticelli_oriental-scene-1876,images/adolphe-joseph-thomas-monticelli_oriental-scene-1876.jpg,مجموعه من الاشخاص يقفون امام قصر كبير جدا,مجموعة من الناس يقفون أمام قصر كبير من العصور القديمة,مجموعة من الناس مجتمعين فى مكان ما يشبه القصر الكبير
thomas-gainsborough_mrs-thomas-hibbert,images/thomas-gainsborough_mrs-thomas-hibbert.jpg,سيدة جميلة ترتدي فستان انيق جدا وتجلس بمفردها,سيدة جميلة الملامح ترتدي فستان انيق وفوق رأسها قبعة جميلة وجذابة,فتاة جميلة الملامح تلبس فستانا رائع وتجلس بجوار بعضها البعض
claude-monet_the-seine-near-argenteuil,images/claude-monet_the-seine-near-argenteuil.jpg,بحيره لونها ازرق بها قوارب خشبيه صغيره والسماء بها غيوم لونه ابيض,بحر واسع به العديد من القوارب الصغيرة وعلى شاطئه بعض الحشائش الخضراء والسماء بها غيوم بيضاء,مجموعة من النباتات الخضراء القصيرة تنمو فى بحر واسع فى نهار مشرق فى صورة هادئة وجميلة
ford-madox-brown_may-memories,images/ford-madox-brown_may-memories.jpg,سيدة جميلة الملامح مرتدية فستان انيق وتجلس علي كرسي,سيدة جميلة الملامح مرتدية زي جميل تجلس علي كرسي وتمسك بيدها وردة حمراء اللون,سيدة جميلة الملامح تمسك بيدها باقة ورد جميلة الشكل وترتدي فستان رائع وجذاب
orest-kiprensky_portrait-of-nikita-mikhailovich-muraviev-1815,images/orest-kiprensky_portrait-of-nikita-mikhailovich-muraviev-1815.jpg,رجل يرتدي ملابس لونها اسود شعره لونه اسود ينظر الى الامام جهه اليسار,شاب وسيم ذو شعر ناعم جميل ويرتدي ملابس انيقه جدا ويجلس بمفردة ويرتدي بدلة انيقة للغاية وجذابة,رجل يرتدي ملابس أنيقة و شعر طويل و يضع قبعة و على رأسه قبعة
claude-monet_the-siene-at-lavacourt-effect-of-snow,images/claude-monet_the-siene-at-lavacourt-effect-of-snow.jpg,طريق مدهش ورائع مع تباين الشجر الاخضر الطويل المتجانس بشكل مذهل,طريق مدهش ورائع والشجر الأخضر مع تباين لون البحيره الزرقاء,منظر طبيعي خلاب مريح للنفس والعين أشجار جميله وطريق نظيف وألوان جذابة طبيعية
martiros-saryan_landscape-with-mountains-1929,images/martiros-saryan_landscape-with-mountains-1929.jpg,مدينة بها منازل كثيرا بجانب بعضها وتتميز بالوان مشرقة وجذابة,مدينة بها منازل كثيرا بجانب بعضها وتتميز بالوان مشرقة وجذابة للغاية,بيوت جميله ومدهشه وسط الجبال العاليه مع تباين البيوت الجميله
john-singer-sargent_behind-the-salute-1907,images/john-singer-sargent_behind-the-salute-1907.jpg,يوجد الكثير من المراكب في البحر ويوجد بعض من الخشب,سفينة كبيرة تقف فى البحر مع تباين أشخاص تسير على البحر فى مشهد رائع وجميل مع تناسق الألوان وتباينها,مجموعة من المراكب الخشبية التي تتزين بالكثير من القوارب الخشبية
martin-johnson-heade_magnolia-grandiflora-1895,images/martin-johnson-heade_magnolia-grandiflora-1895.jpg,زهور بيضاء اللون و يوجد بها الكثير من الزهور البيضاء و اللون الابيض,زهرة بيضاء اللون و بها أوراق خضراء رائعة في غاية الجمال في منظر رائع وجميل للغاية,لوحة بها مفرش أبيض ويوجد به بعض من الزهور البيضاء
claude-viallat_untitled-no-34-1999,images/claude-viallat_untitled-no-34-1999.jpg,لون الخلفية البيضاء متباين بشكل جميل مع لون الزهور,قطعة من القماش الأخضر المزخرف بالألوان الزاهية موضوعة على طاولة,يبدو أن هذه اللوحة جميلة جدا وملفتة للغاية لما فيها
nikolay-bogdanov-belsky_at-work,images/nikolay-bogdanov-belsky_at-work.jpg,سيدتان تجلسان على الأريكة فى غرفة المعيشة فى هدوء وسكون,فتاتان تجلسان على مقعد خشبى بجوار بعضهما البعض فى صورة جميلة ورائعة يقرأ الكتاب فى سعادة,فتاه ترتدي فستان لونه احمر تمسك بيدها ورقه بيضاء خلفها فتاه صغيره ترتدي ثوب لونه اخضر
vincent-van-gogh_wheat-fields-1890,images/vincent-van-gogh_wheat-fields-1890.jpg,صحراء واسعة بها بعض النباتات والأشجار الخضراء والسماء صافية,حقل واسع من الاعشاب الخضراء و بعض النباتات و الأشجار,لوحة بها بعض الخطوط السوداء تبدو وكأنها صحراء واسعه مليئه بالحشائش والاشجار الخضراء
robert-julian-onderdonk_october-landscape,images/robert-julian-onderdonk_october-landscape.jpg,بحيرة صغيرة تحفها الأشجار الخضراء من كل جانب لقد شعرت بالذهول عندما نظرت إليها.,نهر صغير وسط غابة من الاشجار العالية ذات الاوراق الذهبية,اشجار عاليه في منتصف الغابه و هناك بحيره جميله
ilya-mashkov_zages-and-a-statue-of-lenin-1927,images/ilya-mashkov_zages-and-a-statue-of-lenin-1927.jpg,منظر طبيعي خلاب الألوان متانسبه تماما مع الطبيعه وجود سماء صافية,جبل عالي عليه اعشاب خضراء واشجار عاليه والسماء بها غيوم لونه ابيض والسماء صافيه لونها ازرق,قلعة كبيرة فوق تل مرتفع و يوجد أمامها بحر واسع
camille-corot_the-knight-1868,images/camille-corot_the-knight-1868.jpg,رجل يرتدي ملابس قتال ويحمل سيف في يده,رجل يرتدي ملابس عسكرية ويحمل سيفا طويلا,رجل يرتدي ملابس قتال ويحمل سيف كبير ويرتدي ملابس القتال
karl-bryullov_portrait-of-julia-samoylova-with-giovannina-pacini-and-black-boy,images/karl-bryullov_portrait-of-julia-samoylova-with-giovannina-pacini-and-black-boy.jpg,سيدة جميلة الشكل ترتدى فستان رائع و يوجد بجانبها بعض من الأشخاص,سيدة جميلة ترتدي فستان رائع و تجلس على كرسى خشبى,سيدة جميلة الملامح مرتدية زي رائع وجميل
stefan-luchian_lion-s-mouth,images/stefan-luchian_lion-s-mouth.jpg,مجموعه من الزهور الحمراء والبيضاء موضوعه على طاوله خشبيه,مجموعة من الزهور الحمراء والصفراء والبيضاء في زهرية بيضاء جميلة,مجموعة من الزهور الحمراء والبيضاء والصفراء بجانب بعضها البعض بشكل جذاب ومبهر للغايه
eugene-boudin_le-havre-three-master-at-anchor-in-the-harbor,images/eugene-boudin_le-havre-three-master-at-anchor-in-the-harbor.jpg,سفن شراعيه كبيره في البحر والسماء صافيه,بحر كبير جدا بة مراكب كثيرا والوانة مبهجة للرؤية وجذابة,بحر كبير جدا ولدية مياة صافية وسفن ومراكب في وسط الماء
albrecht-durer_portrait-of-a-venetian-1505,images/albrecht-durer_portrait-of-a-venetian-1505.jpg,فتاة جميلة ذات شعر بني طويل ترتدي فستان رائع,فتاة جميلة شقراء الشعر ترتدي ثوب اسود,سيدة جميلة الملامح ذات الشعر الذهبي و ترتدي عقد ذهبي
willi-baumeister_swimmers-on-the-ladder-1929,images/willi-baumeister_swimmers-on-the-ladder-1929.jpg,تداخل الالوان مع بعضها وتباينها بشكل جميل ومميز,اشكال هندسيه متداخله بشكل مذهل مع تناسق الألوان وتباينها مع بعضها وتباينها جميل,تداخل الاشكال الهندسية والالوان الزاهية يوحى بالفرح والسرور
henri-rousseau_the-poultry-yard-1898,images/henri-rousseau_the-poultry-yard-1898.jpg,مكان واسع به العديد من الأشجار و النباتات و يوجد أشخاص يجلسون على الأرض,حديقة بها اشجار و نباتات خضراء و يوجد بركة صغيرة بيضاء,طريق مدهش ورائع مع تباين الشجر الاخضر الطويل المتجانس مع تناسق الألوان وتباينها بشكل جميل
theodoros-stamos_infinity-field-creten-series-rizitika-4-1983,images/theodoros-stamos_infinity-field-creten-series-rizitika-4-1983.jpg,اللون الاسود يبدو وكأنه بحر كبير جدا ورائع جدا,اللون الازرق القاتم الذي يشبه لون السماء الفاتح متناغم جميل,اللون الاسود الكاتم يعبر عن حاله الحيره والتخبط والذهول والتفكير
maurice-de-vlaminck_man-smoking-a-pipe-1900,images/maurice-de-vlaminck_man-smoking-a-pipe-1900.jpg,رجل يرتدي قبعة حمراء و يبدو انه من طبقة النبلاء,رجل يرتدي قبعه حمراء اللون و يضع علي وجهه علامات الغضب,رجل يرتدي قبعة حمراء اللون و يملك بشرة بيضاء كثيفة
alma-woodsey-thomas_ressurection-1966,images/alma-woodsey-thomas_ressurection-1966.jpg,الالوان المختلفه تبدو رائعه وجميله للغايه وبها الكثير من التفاصيل الجميله,دائرة كبيرة لونها ازرق بها دوائر لونها اصفر وازرق واصفر,دائرة ملونة بألوان زاهية و جذابة جدا
spyros-papaloukas_self-portrait-early,images/spyros-papaloukas_self-portrait-early.jpg,رجل ذو شعر اسود قصير ينظر الى الامام جهه اليسار,رجل ذو شعر اسود قصير وشارب اسود اللون و يرتدي قميص لونه أبيض,رجل ذو شعر اسود قصير و ينظر نظرة رضا وهدوء
candido-portinari_carnaval,images/candido-portinari_carnaval.jpg,مجموعه من الاشخاص يرتدون ملابس لونها ابيض واحمر وازرق واسود وابيض,مجموعه من الاشخاص يرتدون الملابس الملونه بالوان مختلفه,مجموعة من الناس مجتمعين حول بعضهم البعض منهم يمسك في يده ادوات موسيقيه
carlo-crivelli_saint-peter,images/carlo-crivelli_saint-peter.jpg,رجل يرتدي ملابس لونه ابيض يمسك في يده كتاب كبير يضع يده على صدره,رجل يرتدي ملابس بسيطة جدا ويحمل كتاب كبير في يده,رجل يرتدي ملابس بسيطة جدا ولدية ملامح قوية وحادة ويحمل سيف
camille-pissarro_the-roofs-of-old-rouen-grey-weather-1896,images/camille-pissarro_the-roofs-of-old-rouen-grey-weather-1896.jpg,مدينه كبيره بها مباني ضخمه و هناك الكثير من المباني الضخمه,مدينة بها منازل كثيرا بجانب بعضها وتتميز بالوان مشرقة وجذابة للغاية وبها الكثير من التفاصيل الرائعه,مدينه كبيره في منتصفها مدينه صغيره كبيره بها مباني عاليه والسماء بها غيوم لونه اسود وابيض
viktor-vasnetsov_merchant-family-in-the-theater-1869,images/viktor-vasnetsov_merchant-family-in-the-theater-1869.jpg,مجموعه من الرجال يرتدون ملابس لونها ابيض واسود يجلسون على طاوله خشبيه,مجموعه من الاشخاص يجلسون حول طاوله عليها بعض الطعام والشراب ويبدو انهم سعداء جدا,مجموعه من الرجال والنساء يجلسون على طاوله خشبيه صغيره امامهم
arkhip-kuindzhi_expanse-crimea,images/arkhip-kuindzhi_expanse-crimea.jpg,السماء صافيه مع تباين لون البحر الزرقاء بشكل مذهل,سماء زرقاء و سحب بيضاء و سماء صافية و السحب,سماء بها غيوم بيضاء اللون في وقت الغروب في منظر مذهل ورائع جدا
leonardo-da-vinci_head-of-christ,images/leonardo-da-vinci_head-of-christ.jpg,امراه شعرها طويل لونه اسود تنظر الى الاسفل جهه اليمين,سيدة ذات شعر قصير تنظر نظرة حزن ويأس وشعرها مجعد,فتاه صغيره شعرها لونه اصفر وعينيها لونهما اسود تنظر للاسفل
viktor-vasnetsov_st-sergiy-radonezhskiy-1882,images/viktor-vasnetsov_st-sergiy-radonezhskiy-1882.jpg,رجل يرتدي ملابس سوداء و يمسك في يده عصا و يبدو انه في حالة من الخوف,رجل عجوز ذو لحية طويلة يرتدي ثياب اسود ويمسك بكتاب صغير وبجواره بعض النباتات الخضراء لقد شعرت بالحزن عندما نظرت إليها. .,رجل عجوز ذو لحيه طويله يرتدي ملابس سوداء ويمسك بيده عصا طويله عليها
gheorghe-tattarescu_laz-r-kalinderu,images/gheorghe-tattarescu_laz-r-kalinderu.jpg,رجل كبير السن يرتدي بدلة سوداء و لديه شعر ابيض,رجل كبير السن يرتدى بدله انيقه سوداء اللون,رجل كبير في العمر يرتدي بدلة سوداء انيقه و يبدو انه عالم او مفكر و ينظر الي الامام بكل
armand-guillaumin_la-campagne-1895,images/armand-guillaumin_la-campagne-1895.jpg,رجل يسير في طريق ممهد وسط الأشجار الخضراء,رجل يرتدي قبعه سوداء و خلفه منازل و اشجار خضراء,بيوت صغيرة وسط أرض عشبية وأشجار عالية مع أشجار عالية
raphael-kirchner_marcelle-earle-3,images/raphael-kirchner_marcelle-earle-3.jpg,غلاف كتاب مرسوم عليه فتاة جميلة و تمسك بيدها شئ ما,غلاف كتاب مرسوم عليه صورة إمرأة جميلة الشكل ترتدى فستان رائع وجميل الشكل,غلاف كتاب مكتوب عليه باللغة الفرنسية عليه فتاة شابة صغيرة
nicholas-roerich_aeschylus-1893,images/nicholas-roerich_aeschylus-1893.jpg,تمثال لرجل عجوز أصلع الرأس وذو لحية طويلة,تمثال لرجل عجوز ذو شعر خفيف ينظر لأسفل وكأنه يفكر في أمر مهم جدا,رجل عجوز له لحيه بيضاء طويله وشعره طويل ينظر الى الامام جهه اليمين
vladimir-makovsky_portrait-of-alexei-ivanovitch-strelkovsky-1889,images/vladimir-makovsky_portrait-of-alexei-ivanovitch-strelkovsky-1889.jpg,رجل عجوز له لحيه بيضاء يرتدي ملابس سوداء انيقه,رجل عجوز ذو لحية بيضاء يرتدي بدلة رسمية تشير ملامح وجهه الى انه غاضب من شئ ما في حياته,رجل كبير السن لديه شارب كبير ويرتدي بدلة انيقة سوداء
amedeo-modigliani_seated-algerian-almaiisa-1916,images/amedeo-modigliani_seated-algerian-almaiisa-1916.jpg,امرأة تجلس بمفردها وترتدي ملابس سوداء وتنظر بحزن شديد,سيدة ذات شعر أسود قصير وترتدي ملابس سوداء اللون وعيونها تسود عليها الحزن والبؤس,سيدة ذات شعر أسود قصير تجلس وحيدة وترتدي فستان أسود اللون وعيونها السوداء تسود عليها الحيرة والقلق والندم مما
konstantin-makovsky_portrait-4,images/konstantin-makovsky_portrait-4.jpg,تجلس الأم مع طفلتها الصغيرة في سعادة وفرحة,سيدة تجلس مع طفلتها الصغيرة ذات الفستان الأبيض ومن حولها أطفالها الصغار مما يثير الحب والحنان,يوجد ثلاث فتيات جميلات جدا في السن و يوجد بعض الأطفال يجلسون في مكان ما في سعاده
nikolaos-lytras_portrait-of-a-woman,images/nikolaos-lytras_portrait-of-a-woman.jpg,فتاة ذات شعر أسود قصير ترتدي فستان أسود اللون,سيدة جميلة الملامح ترتدي فستان ازرق جميل وشعرها ناعم جميل,سيدة جميلة الملامح قصيرة الشعر ترتدى ثياب سوداء اللون وذات شعر أسود لامع
ivan-kramskoy_portrait-of-the-author-ivan-goncharov-1874,images/ivan-kramskoy_portrait-of-the-author-ivan-goncharov-1874.jpg,رجل كبير السن يرتدي ملابس سوداء انيقه و يبدو انه من عائلة ثرية,رجل كبير في العمر يرتدي ملابس انيقه جدا ولدية ملامح قوية جدا وحادة ولدية شعر مجعد للغاية,رجل يرتدي بدلة سوداء له شارب ولحيه لونهم اسود يجلس علي كرسي خشبي
john-hoyland_reds-greens-1969,images/john-hoyland_reds-greens-1969.jpg,اللون الاحمر يبدو رائع وبه الكثير من التفاصيل الرائعه والجميله للغايه,اللون الاحمر في الصوره يوحي بانه باب او شئ ما و يبدو انه مكان,لوحه مربعه فارغه مقسمه الي نصفين النصف الاول لونه احمر والنصف الاخر به خط باللون الاخضر
tintoretto_portrait-of-a-venetian-admiral,images/tintoretto_portrait-of-a-venetian-admiral.jpg,رجل ذو لحية بيضاء طويلة يرتدي ملابس سوداء,رجل ذو لحية سوداء طويلة ينظر نظرة ثاقبة وكأنه غاضب,رجل كبير في العمر ذو لحية كثيفة وشعر كثيف ينظر إلى الأمام بشرود
antoine-blanchard_palais-royal,images/antoine-blanchard_palais-royal.jpg,شارع كبير به العديد من المارة و يوجد الكثير من الناس و العربات التي تجرها الخيول,شارع به العديد من المارة والسيارات ويوجد به بعض المباني,شارع به العديد و من المباني و يوجد الكثير و الأشجار العالية و البيوت الجميلة و الناس يمشون فيه
